Index,Station code,Station name,اسم المحطة,Metro line number,Metro line name,اسم مسار القطار,Station type code,Station type,نوع المحطة,Sequence of the stops,Comments,التعليقات,Geographical coordinates,geo_point_2d
63,S32,Ministry of Education,وزاره التعليم,Line2,Red line,المسار الأحمر,2,At Grade,على مستوى الأرض,33,,,"{""coordinates"": [46.69346684713819, 24.7399774582299], ""type"": ""Point""}","24.7399774582299, 46.69346684713819"
80,S34,Riyadh Exhibition Center,مركز الرياض للمعارض,Line2,Red line,المسار الأحمر,1,Elevated,مرتفع,35,,,"{""coordinates"": [46.72721163892653, 24.75378482455737], ""type"": ""Point""}","24.75378482455737, 46.72721163892653"
14,S37,Al Khaleej,الخليج,Line2,Red line,المسار الأحمر,3,Shallow Underground,تحت الأرض على عمق ضحل,38,,,"{""coordinates"": [46.79447110643801, 24.78145044800828], ""type"": ""Point""}","24.78145044800828, 46.79447110643801"
99,S43,Western Station,الغربية,Line3,Orange line,المسار البرتقالي,1,Elevated,مرتفع,44,,,"{""coordinates"": [46.61438544942218, 24.58248496741372], ""type"": ""Point""}","24.58248496741372, 46.61438544942218"
38,S48,Courts Complex,مجمع المحاكم,Line3,Orange line,المسار البرتقالي,4,Deep Underground,تحت الأرض على عمق كبير,49,,,"{""coordinates"": [46.71242068810995, 24.62696585808965], ""type"": ""Point""}","24.62696585808965, 46.71242068810995"
78,S18,Qasr Al Hokm,قصر الحكم,Line3,Orange line,المسار البرتقالي,4,Deep Underground,تحت الأرض على عمق كبير,50,,,"{""coordinates"": [46.71605976865056, 24.62852568362789], ""type"": ""Point""}","24.62852568362789, 46.71605976865056"
16,S50,Al Margab,المرقب,Line3,Orange line,المسار البرتقالي,4,Deep Underground,تحت الأرض على عمق كبير,52,,,"{""coordinates"": [46.72544371164624, 24.63402768715887], ""type"": ""Point""}","24.63402768715887, 46.72544371164624"
33,S51,As Salhiyah,الصالحية,Line3,Orange line,المسار البرتقالي,4,Deep Underground,تحت الأرض على عمق كبير,53,,,"{""coordinates"": [46.73192914145916, 24.63722864945175], ""type"": ""Point""}","24.63722864945175, 46.73192914145916"
41,S52,First Industrial City,المدينة الصناعية الأولى,Line3,Orange line,المسار البرتقالي,4,Deep Underground,تحت الأرض على عمق كبير,54,,,"{""coordinates"": [46.73949283534146, 24.64518207915902], ""type"": ""Point""}","24.64518207915902, 46.73949283534146"
27,S58,An Naseem,النسيم,Line3,Orange line,المسار البرتقالي,3,Shallow Underground,تحت الأرض على عمق ضحل,60,,,"{""coordinates"": [46.82781400965195, 24.70026793259499], ""type"": ""Point""}","24.70026793259499, 46.82781400965195"
53,S60,Khashm Al An,خشم العان,Line3,Orange line,المسار البرتقالي,3,Shallow Underground,تحت الأرض على عمق ضحل,62,,,"{""coordinates"": [46.86032645729338, 24.72156579731185], ""type"": ""Point""}","24.72156579731185, 46.86032645729338"
97,S62,Uthman Bin Affan Road,طريق عثمان بن عفان,Line4,Yellow line,المسار الأصفر,1,Elevated,مرتفع,65,,,"{""coordinates"": [46.69634901482668, 24.80050291216557], ""type"": ""Point""}","24.80050291216557, 46.69634901482668"
73,S64,PNU1,جامعة الأميرة نورة 1,Line4,Yellow line,المسار الأصفر,1,Elevated,مرتفع,67,"Modification on the 26.03.2025, the English name of the station has been changed from ""Princess Nourah University 1"" to ""PNU1"".",تعديل في 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ”Princess Nourah University 1“ إلى ”PNU1“.,"{""coordinates"": [46.71668238777214, 24.84039655903143], ""type"": ""Point""}","24.84039655903143, 46.71668238777214"
89,S68,Airport T1-2,الصالة 1-2,Line4,Yellow line,المسار الأصفر,1,Elevated,مرتفع,71,"Modification on 26.03.2025, the English name of the station has been changed from ""Terminal 1-2"" to ""Airport T1-2"".","تعديل بتاريخ 26.03.2025، تم تغيير الاسم الإنجليزي للمحطة من ""Terminal 1-2"" إلى ""Airport T1-2"".","{""coordinates"": [46.70002847728534, 24.96281541599763], ""type"": ""Point""}","24.96281541599763, 46.70002847728534"
84,S78,King Salman Park,حديقة الملك سلمان,Line5,Green line,المسار الأخضر,4,Deep Underground,تحت الأرض على عمق كبير,82,,,"{""coordinates"": [46.7010605218833, 24.72833810456862], ""type"": ""Point""}","24.72833810456862, 46.7010605218833"
43,S79,Granadia,غرناطيّة,Line6,Purple line,المسار البنفسجي,1,Elevated,مرتفع,88,,,"{""coordinates"": [46.72933303753641, 24.78648327857564], ""type"": ""Point""}","24.78648327857564, 46.72933303753641"
6,S81,Al Andalus,الأندلس,Line6,Purple line,المسار البنفسجي,1,Elevated,مرتفع,91,,,"{""coordinates"": [46.79050988521736, 24.75674689952316], ""type"": ""Point""}","24.75674689952316, 46.79050988521736"
28,S58,An Naseem,النسيم,Line6,Purple line,المسار البنفسجي,3,Shallow Underground,تحت الأرض على عمق ضحل,94,,,"{""coordinates"": [46.82796281476497, 24.70048083828638], ""type"": ""Point""}","24.70048083828638, 46.82796281476497"
